Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
jamnagar,0.665233515,0.663125755,0.00210776
devbhumi dwarka,0.632384691,0.65675835,0.024373659
morbi,0.897578925,1.089593543,0.192014618
navsari,2.899986996,0.636447966,2.26353903
jhajjar,1.433630243,0.004170675,1.429459568
gurugram,1.190106782,0.025213178,1.164893604
faridabad,6.911149485,0.0,6.911149485
mahendragarh,0.562223928,0.000562973,0.561660955
rewari,0.830835644,0.002779906,0.828055738
nuh,0.669910248,0.0,0.669910248
palwal,1.788990887,0.0,1.788990887
charki dadri,0.854921696,0.002355435,0.852566261
yamunanagar,5.773638579,0.042011596,5.731626983
kurukshetra,5.505038063,0.003818992,5.501219071
kaithal,3.116757085,0.00046637,3.116290715
sirsa,8.323627750875,0.001758909,7.660317975750001
karnal,3.351988487,0.003219511,3.348768976
jind,1.133905451,0.0,1.133905451
fatehabad,8.323627750875,0.0,7.660317975750001
hisar,4.240875674,0.000529024,4.24034665
panipat,1.825319296,0.0,1.825319296
sonipat,0.905127272,0.0,0.905127272
bhiwani,2.188213606,0.000980524,2.187233082
rohtak,1.003708527,0.003867208,0.999841319
panchkula,0.322349702,0.040273471,0.282076231
ambala,4.251029067,0.0,4.251029067
lahul & spiti,0.310107104,0.321979852,0.011872748
chamba,0.400300346,0.191863584,0.208436762
kangra,1.044453548,0.966952237,0.077501311
kullu,0.26843604,0.052025107,0.216410933
mandi,0.910437082,0.174020686,0.736416396
kinnaur,0.710681995,0.171089112,0.539592883
una,0.647137511,0.628882095,0.018255416
shimla,0.771392749,0.035574686,0.735818063
solan,0.404819031,0.124151886,0.280667145
sirmaur,1.011405104,0.033540578,0.977864526
hamirpur,0.722347337,0.097059815,0.625287522
bilaspur,6.380614515,1.597536193,2.184503883
kupwara,0.534056594,0.014099434,0.51995716
bandipore,2.552861234,0.616409408,1.936451826
baramula,1.128824654,0.217682121,0.911142533
ganderbal,1.994547665,0.499016366,1.495531299
anantnag,0.462302357,0.159500867,0.30280149
kishtwar,0.405119324,0.12316298,0.281956344
srinagar,1.003599347,0.724666434,0.278932913
badgam,3.988476641,0.182326085,3.806150556
pulwama,3.270901569,0.279219117,2.991682452
punch,0.738012141,0.059684491,0.67832765
shupiyan,1.082625131,0.002022763,1.080602368
kulgam,0.367091191,0.344100009,0.022991182
rajouri,0.301855404,0.017946919,0.283908485
ramban,0.754358554,0.309949623,0.444408931
reasi,1.749523708,0.510462262,1.239061446
doda,0.541398151,0.270867996,0.270530155
jammu,2.064462057,0.475037449,1.589424608
kathua,1.038752523,0.993134601,0.045617922
udhampur,0.487802833,0.013526323,0.47427651
samba,0.669356657,0.039351707,0.63000495
muzaffarabad,0.705240174,0.275433011,0.429807163
mirpur,2.033481738,1.597536193,0.33730821
sahibganj,8.050315684,1.597536193,5.74321916
godda,0.351053647,0.042063828,0.308989819
pakur,3.841519374,0.015471341,3.826048033
giridih,0.488850861,0.045970652,0.442880209
dumka,0.826039058,0.598250003,0.227789055
deoghar,0.900022929,0.088257849,0.81176508
palamu,1.260455563,0.197368643,1.06308692
chatra,0.37639693,0.036811514,0.339585416
garhwa,0.838209479,0.290692695,0.547516784
jamtara,1.614168247,0.953600878,0.660567369
dhanbad,1.331577575,1.123698027,0.207879548
latehar,0.573164859,0.027933586,0.545231273
bokaro,1.369848729,1.347818433,0.022030296
ramgarh,0.955188073,0.516207464,0.438980609
ranchi,0.833116849,0.368094084,0.465022765
lohardaga,0.868753763,0.077224984,0.791528779
gumla,0.738034735,0.061045269,0.676989466
khunti,0.760830841,0.025055895,0.735774946
saraikela-kharsawan,1.982457722,1.597536193,0.297198097
purbi singhbhum,1.736697053,0.089703785,1.646993268
pashchimi singhbhum,0.910148694,0.04196336,0.868185334
simdega,1.054648305,0.125948542,0.928699763
