District,Latitude,Longitude,elevation
Darjiling,27.041527,88.272768,1782
Darrang,26.441811,92.033565,59
Datia,25.673026,78.458158,243
Dausa,26.899411,76.334441,336
Davangere,14.492934,75.936375,578
Debagarh,21.546245,84.744026,311
Dehradun,30.325264,78.041576,670
Deoghar,24.481265,86.700615,253
Deoria,26.500556,83.783389,79
Dewas,22.962736,76.071156,548
Dhalai,23.938769,91.868389,94
Dhamtari,20.703812,81.567596,325
Dhanbad,23.797727,86.436225,239
Dhar,22.598554,75.314536,570
Dharmapuri,12.134803,78.161203,455
Dharwad,15.452454,75.012073,723
Dhaulpur,26.693948,77.894554,175
Dhemaji,27.4844,94.594933,100
Dhenkanal,20.654734,85.588016,86
Dhubri,26.019042,89.991086,29
Dhule,20.90441,74.781243,261
Dibang Valley,28.850861,95.871559,1775
Dibrugarh,27.480193,94.912419,107
Dimapur,25.91789,93.746839,145
Dindigul,10.361936,77.968908,277
Dindori,22.939702,81.083584,682
Diu,20.713309,70.979548,3
Dohad,22.823003,74.263925,299
Dumka,24.271014,87.249367,148
Dungarpur,23.837104,73.716702,314
Durg,21.188278,81.275855,291
East Sikkim,27.328923,88.616469,1545
East Garo Hills,25.528369,90.593784,267
East Godavari,16.969397,82.236435,8
East Kameng,27.333113,93.063248,773
East Khasi Hills,25.588025,91.887356,1444
East Nimar,21.827574,76.356018,313
East Siang,28.065355,95.333325,161
Ernakulam,9.956764,76.292401,4
Erode,11.334348,77.72772,170
Etah,27.55673,78.657582,170
Etawah,26.77697,79.025561,149
Faizabad,26.781125,82.149876,102
Faridabad,28.427902,77.329409,204
Faridkot,30.67333,74.758547,203
Farrukhabad,27.367541,79.635106,147
Fatehabad,29.516385,75.4548,212
Fatehgarh Sahib,30.647528,76.406922,268
Fatehpur,25.927961,80.817369,117
Firozabad,27.142217,78.398303,163
Firozpur,30.939516,74.619239,197
Gadag,15.441432,75.646857,647
Gadchiroli,20.184794,80.007887,210
Gajapati,18.776646,84.080324,60
Gandhinagar,23.235737,72.671374,79
Ganganagar,29.928315,73.867201,177
Ganjam,19.350441,84.985993,23
Garwah,24.17351,83.81231,211
Garhwal,30.152136,78.780959,1391
Gautam Buddha Nagar,28.567013,77.327519,201
Gaya,24.79151,85.004475,119
Ghaziabad,28.660255,77.445653,215
Ghazipur,25.586118,83.581496,71
Giridih,24.189967,86.313267,296
Goalpara,26.176465,90.631164,40
Godda,24.829078,87.215924,91
Golaghat,26.509522,93.974001,101
Gonda,27.133796,81.962471,109
Gondiya,21.448734,80.1972,313
Gopalganj,26.465323,84.444294,72
Gorakhpur,26.759828,83.370935,83
Gulbarga,17.334962,76.834784,465
Gumla,23.026635,84.534374,653
Guna,24.644351,77.313136,477
Guntur,16.297356,80.447394,32
Gurdaspur,32.045131,75.408744,264
Gurgaon,28.466248,77.028569,225
Gwalior,26.222524,78.168463,233
Hailakandi,24.709416,92.568191,24
Hamirpur,31.672705,76.521404,750
Hamirpur,25.959941,80.117055,107
Hanumangarh,29.577336,74.320427,183
Haora,22.567906,88.327811,6
Harda,22.336719,77.085484,286
Hardoi,27.395551,80.127149,145
Hardwar,29.919595,78.162848,278
Hassan,13.008913,76.098149,952
Hathras,27.585241,78.05918,179
Haveri,14.810215,75.407562,562
Hazaribagh,23.988567,85.36671,615
Hingoli,19.713154,77.153409,457
Hisar,29.151765,75.725027,213
Hoshangabad,22.740101,77.713729,304
Hoshiarpur,31.535053,75.914418,305
Hugli,22.900631,88.396631,12
Hyderabad,17.399667,78.488244,507
Hyderabad,17.399667,78.488244,507
Idukki,9.900515,77.176271,1066
Imphal,24.811571,93.950799,783
Indore,22.716881,75.867271,553
Jabalpur,23.172246,79.937619,406
Jagatsinghapur,20.26385,86.166024,13
